County Name,County Name [Public School] 2015-16,County Number [Public School] 2015-16,Total Number of Public Schools [Public School] 2015-16
Greene County IA  ,Greene County,19073,6
Greene County IL  ,Greene County,17061,7
Greene County IN  ,Greene County,18055,14
Greene County MO  ,Greene County,29077,92
Greene County MS  ,Greene County,28041,6
Greene County NC  ,Greene County,37079,6
Greene County NY  ,Greene County,36039,16
Greene County OH  ,Greene County,39057,37
Greene County PA  ,Greene County,42059,16
Greene County TN  ,Greene County,47059,25
Greene County VA  ,Greene County,51079,7
Greenlee County AZ  ,Greenlee County,04011,10
Greensville County VA  ,Greensville County,51081,3
Greenup County KY  ,Greenup County,21089,16
Greenville County SC  ,Greenville County,45045,102
Greenwood County KS  ,Greenwood County,20073,6
Greenwood County SC  ,Greenwood County,45047,21
Greer County OK  ,Greer County,40055,6
Gregg County TX  ,Gregg County,48183,46
Gregory County SD  ,Gregory County,46053,9
Grenada County MS  ,Grenada County,28043,6
Griggs County ND  ,Griggs County,38039,3
Grimes County TX  ,Grimes County,48185,13
Grundy County IA  ,Grundy County,19075,11
Grundy County IL  ,Grundy County,17063,25
Grundy County MO  ,Grundy County,29079,7
Grundy County TN  ,Grundy County,47061,8
Guadalupe County NM  ,Guadalupe County,35019,8
Guadalupe County TX  ,Guadalupe County,48187,41
Guernsey County OH  ,Guernsey County,39059,16
Guilford County NC  ,Guilford County,37081,134
Gulf County FL  ,Gulf County,12045,7
Gunnison County CO  ,Gunnison County,08051,7
Guthrie County IA  ,Guthrie County,19077,10
Gwinnett County GA  ,Gwinnett County,13135,143
Haakon County SD  ,Haakon County,46055,6
Habersham County GA  ,Habersham County,13137,13
Haines Borough AK  ,Haines Borough,02100,3
Hale County AL  ,Hale County,01065,9
Hale County TX  ,Hale County,48189,28
Halifax County NC  ,Halifax County,37083,20
Halifax County VA  ,Halifax County,51083,13
Hall County GA  ,Hall County,13139,42
Hall County NE  ,Hall County,31079,32
Hall County TX  ,Hall County,48191,4
Hamblen County TN  ,Hamblen County,47063,18
Hamilton County FL  ,Hamilton County,12047,10
Hamilton County IA  ,Hamilton County,19079,10
Hamilton County IL  ,Hamilton County,17065,4
Hamilton County IN  ,Hamilton County,18057,69
Hamilton County KS  ,Hamilton County,20075,2
Hamilton County NE  ,Hamilton County,31081,9
Hamilton County NY  ,Hamilton County,36041,5
Hamilton County OH  ,Hamilton County,39061,202
Hamilton County TN  ,Hamilton County,47065,80
Hamilton County TX  ,Hamilton County,48193,6
Hamlin County SD  ,Hamlin County,46057,10
Hampden County MA  ,Hampden County,25013,165
Hampshire County MA  ,Hampshire County,25015,51
Hampshire County WV  ,Hampshire County,54027,15
Hampton city VA  ,Hampton city,51650,36
Hampton County SC  ,Hampton County,45049,10
Hancock County GA  ,Hancock County,13141,3
Hancock County IA  ,Hancock County,19081,6
Hancock County IL  ,Hancock County,17067,16
Hancock County IN  ,Hancock County,18059,21
Hancock County KY  ,Hancock County,21091,4
Hancock County ME  ,Hancock County,23009,34
Hancock County MS  ,Hancock County,28045,11
Hancock County OH  ,Hancock County,39063,37
Hancock County TN  ,Hancock County,47067,3
Hancock County WV  ,Hancock County,54029,9
Hand County SD  ,Hand County,46059,4
Hanover County VA  ,Hanover County,51085,26
Hansford County TX  ,Hansford County,48195,7
Hanson County SD  ,Hanson County,46061,11
Haralson County GA  ,Haralson County,13143,10
Hardee County FL  ,Hardee County,12049,11
Hardeman County TN  ,Hardeman County,47069,9
Hardeman County TX  ,Hardeman County,48197,5
Hardin County IA  ,Hardin County,19083,13
Hardin County IL  ,Hardin County,17069,3
Hardin County KY  ,Hardin County,21093,37
Hardin County OH  ,Hardin County,39065,13
Hardin County TN  ,Hardin County,47071,7
Hardin County TX  ,Hardin County,48199,25
Harding County NM  ,Harding County,35021,4
Harding County SD  ,Harding County,46063,4
Hardy County WV  ,Hardy County,54031,6
Harford County MD  ,Harford County,24025,54
Harlan County KY  ,Harlan County,21095,14
Harlan County NE  ,Harlan County,31083,2
Harmon County OK  ,Harmon County,40057,3
Harnett County NC  ,Harnett County,37085,29
Harney County OR  ,Harney County,41025,15
Harper County KS  ,Harper County,20077,5
Harper County OK  ,Harper County,40059,4
Harris County GA  ,Harris County,13145,7
Harris County TX  ,Harris County,48201,1141
Harrison County IA  ,Harrison County,19085,10
Harrison County IN  ,Harrison County,18061,15
Harrison County KY  ,Harrison County,21097,8
Harrison County MO  ,Harrison County,29081,12
Harrison County MS  ,Harrison County,28047,54
Harrison County OH  ,Harrison County,39067,6
Harrison County TX  ,Harrison County,48203,33
Harrison County WV  ,Harrison County,54033,29
Harrisonburg city VA  ,Harrisonburg city,51660,11
Hart County GA  ,Hart County,13147,5
Hart County KY  ,Hart County,21099,8
Hartford County CT  ,Hartford County,09003,362
Hartley County TX  ,Hartley County,48205,5
Harvey County KS  ,Harvey County,20079,17
Haskell County KS  ,Haskell County,20081,5
Haskell County OK  ,Haskell County,40061,10
Haskell County TX  ,Haskell County,48207,6
Hawaii County HI  ,Hawaii County,15001,56
Hawkins County TN  ,Hawkins County,47073,20
Hayes County NE  ,Hayes County,31085,2
Hays County TX  ,Hays County,48209,53
Haywood County NC  ,Haywood County,37087,17
Haywood County TN  ,Haywood County,47075,5
Heard County GA  ,Heard County,13149,5
Hemphill County TX  ,Hemphill County,48211,4
Hempstead County AR  ,Hempstead County,05057,9
Henderson County IL  ,Henderson County,17071,4
Henderson County KY  ,Henderson County,21101,15
Henderson County NC  ,Henderson County,37089,24
Henderson County TN  ,Henderson County,47077,11
Henderson County TX  ,Henderson County,48213,31
Hendricks County IN  ,Hendricks County,18063,43
Hendry County FL  ,Hendry County,12051,17
Hennepin County MN  ,Hennepin County,27053,470
Henrico County VA  ,Henrico County,51087,83
Henry County AL  ,Henry County,01067,6
Henry County GA  ,Henry County,13151,52
Henry County IA  ,Henry County,19087,12
Henry County IL  ,Henry County,17073,28
Henry County IN  ,Henry County,18065,18
Henry County KY  ,Henry County,21103,9
Henry County MO  ,Henry County,29083,15
Henry County OH  ,Henry County,39069,15
Henry County TN  ,Henry County,47079,9
Henry County VA  ,Henry County,51089,17
Herkimer County NY  ,Herkimer County,36043,25
Hernando County FL  ,Hernando County,12053,37
Hertford County NC  ,Hertford County,37091,7
Hettinger County ND  ,Hettinger County,38041,5
Hickman County KY  ,Hickman County,21105,2
Hickman County TN  ,Hickman County,47081,8
Hickory County MO  ,Hickory County,29085,10
Hidalgo County NM  ,Hidalgo County,35023,8
Hidalgo County TX  ,Hidalgo County,48215,353
Highland County OH  ,Highland County,39071,18
Highland County VA  ,Highland County,51091,2
Highlands County FL  ,Highlands County,12055,23
Hill County MT  ,Hill County,30041,18
Hill County TX  ,Hill County,48217,40
Hillsborough County FL  ,Hillsborough County,12057,314
Hillsborough County NH  ,Hillsborough County,33011,118
Hillsdale County MI  ,Hillsdale County,26059,25
Hinds County MS  ,Hinds County,28049,89
Hinsdale County CO  ,Hinsdale County,08053,1
Hitchcock County NE  ,Hitchcock County,31087,4
Hocking County OH  ,Hocking County,39073,8
Hockley County TX  ,Hockley County,48219,19
Hodgeman County KS  ,Hodgeman County,20083,2
Hoke County NC  ,Hoke County,37093,13
Holmes County FL  ,Holmes County,12059,11
Holmes County MS  ,Holmes County,28051,8
Holmes County OH  ,Holmes County,39075,17
Holt County MO  ,Holt County,29087,8
Holt County NE  ,Holt County,31089,14
Honolulu County HI  ,Honolulu County,15003,183
Hood County TX  ,Hood County,48221,18
Hood River County OR  ,Hood River County,41027,8
Hooker County NE  ,Hooker County,31091,2
Hoonah-Angoon Census Area AK  ,Hoonah-Angoon Census Area,02105,9
Hopewell city VA  ,Hopewell city,51670,8
Hopkins County KY  ,Hopkins County,21107,22
Hopkins County TX  ,Hopkins County,48223,16
Horry County SC  ,Horry County,45051,54
Hot Spring County AR  ,Hot Spring County,05059,15
Hot Springs County WY  ,Hot Springs County,56017,4
Houghton County MI  ,Houghton County,26061,19
Houston County AL  ,Houston County,01069,32
Houston County GA  ,Houston County,13153,38
Houston County MN  ,Houston County,27055,16
Houston County TN  ,Houston County,47083,5
Houston County TX  ,Houston County,48225,16
Howard County AR  ,Howard County,05061,10
Howard County IA  ,Howard County,19089,8
Howard County IN  ,Howard County,18067,27
Howard County MD  ,Howard County,24027,76
Howard County MO  ,Howard County,29089,7
Howard County NE  ,Howard County,31093,8
Howard County TX  ,Howard County,48227,14
Howell County MO  ,Howell County,29091,15
Hubbard County MN  ,Hubbard County,27057,10
Hudson County NJ  ,Hudson County,34017,129
Hudspeth County TX  ,Hudspeth County,48229,5
Huerfano County CO  ,Huerfano County,08055,5
Hughes County OK  ,Hughes County,40063,12
Hughes County SD  ,Hughes County,46065,8
Humboldt County CA  ,Humboldt County,06023,92
Humboldt County IA  ,Humboldt County,19091,6
Humboldt County NV  ,Humboldt County,32013,15
Humphreys County MS  ,Humphreys County,28053,5
Humphreys County TN  ,Humphreys County,47085,7
Hunt County TX  ,Hunt County,48231,47
Hunterdon County NJ  ,Hunterdon County,34019,54
Huntingdon County PA  ,Huntingdon County,42061,19
Huntington County IN  ,Huntington County,18069,12
Huron County MI  ,Huron County,26063,26
Huron County OH  ,Huron County,39077,23
Hutchinson County SD  ,Hutchinson County,46067,17
Hutchinson County TX  ,Hutchinson County,48233,12
Hyde County NC  ,Hyde County,37095,3
Hyde County SD  ,Hyde County,46069,3
Iberia Parish LA  ,Iberia Parish,22045,23
Iberville Parish LA  ,Iberville Parish,22047,10
Ida County IA  ,Ida County,19093,5
Idaho County ID  ,Idaho County,16049,10
Imperial County CA  ,Imperial County,06025,72
Independence County AR  ,Independence County,05063,15
Indian River County FL  ,Indian River County,12061,29
Indiana County PA  ,Indiana County,42063,23
Ingham County MI  ,Ingham County,26065,98
Inyo County CA  ,Inyo County,06027,27
Ionia County MI  ,Ionia County,26067,29
Iosco County MI  ,Iosco County,26069,10
Iowa County IA  ,Iowa County,19095,9
Iowa County WI  ,Iowa County,55049,16
Iredell County NC  ,Iredell County,37097,48
Irion County TX  ,Irion County,48235,2
Iron County MI  ,Iron County,26071,4
Iron County MO  ,Iron County,29093,9
Iron County UT  ,Iron County,49021,19
Iron County WI  ,Iron County,55051,3
Iroquois County IL  ,Iroquois County,17075,25
Irwin County GA  ,Irwin County,13155,3
Isabella County MI  ,Isabella County,26073,22
Isanti County MN  ,Isanti County,27059,21
Island County WA  ,Island County,53029,26
Isle of Wight County VA  ,Isle of Wight County,51093,9
Itasca County MN  ,Itasca County,27061,28
Itawamba County MS  ,Itawamba County,28057,8
Izard County AR  ,Izard County,05065,8
Jack County TX  ,Jack County,48237,6
Jackson County AL  ,Jackson County,01071,25
Jackson County AR  ,Jackson County,05067,5
Jackson County CO  ,Jackson County,08057,1
Jackson County FL  ,Jackson County,12063,23
Jackson County GA  ,Jackson County,13157,20
Jackson County IA  ,Jackson County,19097,10
Jackson County IL  ,Jackson County,17077,22
Jackson County IN  ,Jackson County,18071,15
Jackson County KS  ,Jackson County,20085,9
Jackson County KY  ,Jackson County,21109,8
Jackson County MI  ,Jackson County,26075,63
Jackson County MN  ,Jackson County,27063,6
Jackson County MO  ,Jackson County,29095,234
Jackson County MS  ,Jackson County,28059,46
Jackson County NC  ,Jackson County,37099,10
Jackson County OH  ,Jackson County,39079,12
Jackson County OK  ,Jackson County,40065,19
Jackson County OR  ,Jackson County,41029,62
Jackson County SD  ,Jackson County,46071,4
Jackson County TN  ,Jackson County,47087,4
Jackson County TX  ,Jackson County,48239,10
Jackson County WI  ,Jackson County,55053,12
Jackson County WV  ,Jackson County,54035,13
Jackson Parish LA  ,Jackson Parish,22049,5
James City County VA  ,James City County,51095,15
Jasper County GA  ,Jasper County,13159,4
Jasper County IA  ,Jasper County,19099,19
Jasper County IL  ,Jasper County,17079,7
Jasper County IN  ,Jasper County,18073,10
Jasper County MO  ,Jasper County,29097,49
Jasper County MS  ,Jasper County,28061,7
Jasper County SC  ,Jasper County,45053,7
Jasper County TX  ,Jasper County,48241,16
Jay County IN  ,Jay County,18075,10
Jeff Davis County GA  ,Jeff Davis County,13161,4
Jeff Davis County TX  ,Jeff Davis County,48243,2
Jefferson County AL  ,Jefferson County,01073,184
Jefferson County AR  ,Jefferson County,05069,29
Jefferson County CO  ,Jefferson County,08059,169
Jefferson County FL  ,Jefferson County,12065,7
Jefferson County GA  ,Jefferson County,13163,6
Jefferson County IA  ,Jefferson County,19101,8
Jefferson County ID  ,Jefferson County,16051,15
Jefferson County IL  ,Jefferson County,17081,30
Jefferson County IN  ,Jefferson County,18077,11
Jefferson County KS  ,Jefferson County,20087,14
Jefferson County KY  ,Jefferson County,21111,178
Jefferson County MO  ,Jefferson County,29099,65
Jefferson County MS  ,Jefferson County,28063,6
Jefferson County MT  ,Jefferson County,30043,14
Jefferson County NE  ,Jefferson County,31095,8
Jefferson County NY  ,Jefferson County,36045,39
Jefferson County OH  ,Jefferson County,39081,24
Jefferson County OK  ,Jefferson County,40067,9
Jefferson County OR  ,Jefferson County,41031,12
Jefferson County PA  ,Jefferson County,42065,16
Jefferson County TN  ,Jefferson County,47089,13
Jefferson County TX  ,Jefferson County,48245,85
Jefferson County WA  ,Jefferson County,53031,15
Jefferson County WI  ,Jefferson County,55055,31
Jefferson County WV  ,Jefferson County,54037,17
Jefferson Davis County MS  ,Jefferson Davis County,28065,5
Jefferson Davis Parish LA  ,Jefferson Davis Parish,22053,13
Jefferson Parish LA  ,Jefferson Parish,22051,89
Jenkins County GA  ,Jenkins County,13165,3
Jennings County IN  ,Jennings County,18079,8
Jerauld County SD  ,Jerauld County,46073,4
Jerome County ID  ,Jerome County,16053,9
Jersey County IL  ,Jersey County,17083,8
Jessamine County KY  ,Jessamine County,21113,13
Jewell County KS  ,Jewell County,20089,2
Jim Hogg County TX  ,Jim Hogg County,48247,3
Jim Wells County TX  ,Jim Wells County,48249,22
Jo Daviess County IL  ,Jo Daviess County,17085,20
Johnson County AR  ,Johnson County,05071,12
Johnson County GA  ,Johnson County,13167,3
Johnson County IA  ,Johnson County,19103,37
Johnson County IL  ,Johnson County,17087,8
Johnson County IN  ,Johnson County,18081,38
Johnson County KS  ,Johnson County,20091,156
Johnson County KY  ,Johnson County,21115,15
Johnson County MO  ,Johnson County,29101,25
Johnson County NE  ,Johnson County,31097,6
Johnson County TN  ,Johnson County,47091,7
Johnson County TX  ,Johnson County,48251,69
Johnson County WY  ,Johnson County,56019,5
Johnston County NC  ,Johnston County,37101,45
Johnston County OK  ,Johnston County,40069,13
Jones County GA  ,Jones County,13169,7
Jones County IA  ,Jones County,19105,10
Jones County MS  ,Jones County,28067,20
Jones County NC  ,Jones County,37103,6
Jones County SD  ,Jones County,46075,3
Jones County TX  ,Jones County,48253,13
Josephine County OR  ,Josephine County,41033,24
Juab County UT  ,Juab County,49023,10
Judith Basin County MT  ,Judith Basin County,30045,10
Juneau City and Borough AK  ,Juneau City and Borough,02110,15
Juneau County WI  ,Juneau County,55057,22
Juniata County PA  ,Juniata County,42067,11
Kalamazoo County MI  ,Kalamazoo County,26077,90
Kalkaska County MI  ,Kalkaska County,26079,10
Kanabec County MN  ,Kanabec County,27065,7
Kanawha County WV  ,Kanawha County,54039,69
Kandiyohi County MN  ,Kandiyohi County,27067,20
Kane County IL  ,Kane County,17089,145
Kane County UT  ,Kane County,49025,10
Kankakee County IL  ,Kankakee County,17091,42
Karnes County TX  ,Karnes County,48255,12
Kauai County HI  ,Kauai County,15007,20
Kaufman County TX  ,Kaufman County,48257,49
Kay County OK  ,Kay County,40071,23
Kearney County NE  ,Kearney County,31099,9
Kearny County KS  ,Kearny County,20093,6
Keith County NE  ,Keith County,31101,4
Kemper County MS  ,Kemper County,28069,4
Kenai Peninsula Borough AK  ,Kenai Peninsula Borough,02122,43
Kendall County IL  ,Kendall County,17093,45
Kendall County TX  ,Kendall County,48259,16
Kenedy County TX  ,Kenedy County,48261,1
Kennebec County ME  ,Kennebec County,23011,54
Kenosha County WI  ,Kenosha County,55059,53
Kent County DE  ,Kent County,10001,50
Kent County MD  ,Kent County,24029,7
Kent County MI  ,Kent County,26081,230
Kent County RI  ,Kent County,44003,47
Kent County TX  ,Kent County,48263,1
Kenton County KY  ,Kenton County,21117,49
Keokuk County IA  ,Keokuk County,19107,7
Kern County CA  ,Kern County,06029,267
Kerr County TX  ,Kerr County,48265,22
Kershaw County SC  ,Kershaw County,45055,19
Ketchikan Gateway Borough AK  ,Ketchikan Gateway Borough,02130,10
Kewaunee County WI  ,Kewaunee County,55061,10
Keweenaw County MI  ,Keweenaw County,26083,2
Keya Paha County NE  ,Keya Paha County,31103,3
Kidder County ND  ,Kidder County,38043,5
Kimball County NE  ,Kimball County,31105,3
Kimble County TX  ,Kimble County,48267,3
King and Queen County VA  ,King and Queen County,51097,3
King County TX  ,King County,48269,1
King County WA  ,King County,53033,518
King George County VA  ,King George County,51099,5
King William County VA  ,King William County,51101,8
Kingfisher County OK  ,Kingfisher County,40073,17
Kingman County KS  ,Kingman County,20095,8
Kings County CA  ,Kings County,06031,66
Kings County NY  ,Kings County,36047,584
Kingsbury County SD  ,Kingsbury County,46077,14
Kinney County TX  ,Kinney County,48271,3
Kiowa County CO  ,Kiowa County,08061,5
Kiowa County KS  ,Kiowa County,20097,4
Kiowa County OK  ,Kiowa County,40075,10
Kit Carson County CO  ,Kit Carson County,08063,9
Kitsap County WA  ,Kitsap County,53035,80
Kittitas County WA  ,Kittitas County,53037,20
Kittson County MN  ,Kittson County,27069,7
Klamath County OR  ,Klamath County,41035,29
Kleberg County TX  ,Kleberg County,48273,16
Klickitat County WA  ,Klickitat County,53039,22
Knott County KY  ,Knott County,21119,8
Knox County IL  ,Knox County,17095,23
Knox County IN  ,Knox County,18083,12
Knox County KY  ,Knox County,21121,16
Knox County ME  ,Knox County,23013,24
Knox County MO  ,Knox County,29103,2
Knox County NE  ,Knox County,31107,15
Knox County OH  ,Knox County,39083,21
Knox County TN  ,Knox County,47093,94
Knox County TX  ,Knox County,48275,5
Kodiak Island Borough AK  ,Kodiak Island Borough,02150,15
Koochiching County MN  ,Koochiching County,27071,9
Kootenai County ID  ,Kootenai County,16055,48
Kosciusko County IN  ,Kosciusko County,18085,20
Kossuth County IA  ,Kossuth County,19109,9
Kusilvak Census Area AK  ,†,†,†
La Crosse County WI  ,La Crosse County,55063,40
La Paz County AZ  ,La Paz County,04012,14
La Plata County CO  ,La Plata County,08067,22
La Salle County TX  ,La Salle County,48283,4
Labette County KS  ,Labette County,20099,17
Lac qui Parle County MN  ,Lac qui Parle County,27073,5
Lackawanna County PA  ,Lackawanna County,42069,48
Laclede County MO  ,Laclede County,29105,13
Lafayette County AR  ,Lafayette County,05073,5
Lafayette County FL  ,Lafayette County,12067,7
Lafayette County MO  ,Lafayette County,29107,19
Lafayette County MS  ,Lafayette County,28071,14
Lafayette County WI  ,Lafayette County,55065,15
Lafayette Parish LA  ,Lafayette Parish,22055,45
Lafourche Parish LA  ,Lafourche Parish,22057,32
LaGrange County IN  ,LaGrange County,18087,13
Lake and Peninsula Borough AK  ,Lake and Peninsula Borough,02164,14
Lake County CA  ,Lake County,06033,44
Lake County CO  ,Lake County,08065,4
Lake County FL  ,Lake County,12069,62
Lake County IL  ,Lake County,17097,206
Lake County IN  ,Lake County,18089,132
Lake County MI  ,Lake County,26085,5
Lake County MN  ,Lake County,27075,5
Lake County MT  ,Lake County,30047,21
Lake County OH  ,Lake County,39085,60
Lake County OR  ,Lake County,41037,8
Lake County SD  ,Lake County,46079,16
Lake County TN  ,Lake County,47095,3
Lake of the Woods County MN  ,Lake of the Woods County,27077,2
Lamar County AL  ,Lamar County,01075,5
Lamar County GA  ,Lamar County,13171,4
Lamar County MS  ,Lamar County,28073,18
Lamar County TX  ,Lamar County,48277,25
Lamb County TX  ,Lamb County,48279,14
Lamoille County VT  ,Lamoille County,50015,15
LaMoure County ND  ,LaMoure County,38045,9
Lampasas County TX  ,Lampasas County,48281,8
Lancaster County NE  ,Lancaster County,31109,88
Lancaster County PA  ,Lancaster County,42071,114
Lancaster County SC  ,Lancaster County,45057,21
Lancaster County VA  ,Lancaster County,51103,3
Lander County NV  ,Lander County,32015,7
Lane County KS  ,Lane County,20101,4
Lane County OR  ,Lane County,41039,111
Langlade County WI  ,Langlade County,55067,13
Lanier County GA  ,Lanier County,13173,4
Lapeer County MI  ,Lapeer County,26087,28
LaPorte County IN  ,LaPorte County,18091,35
Laramie County WY  ,Laramie County,56021,43
Larimer County CO  ,Larimer County,08069,94
Larue County KY  ,Larue County,21123,5
Las Animas County CO  ,Las Animas County,08071,13
LaSalle County IL  ,LaSalle County,17099,50
LaSalle Parish LA  ,LaSalle Parish,22059,9
Lassen County CA  ,Lassen County,06035,30
Latah County ID  ,Latah County,16057,19
Latimer County OK  ,Latimer County,40077,9
Lauderdale County AL  ,Lauderdale County,01077,20
Lauderdale County MS  ,Lauderdale County,28075,26
Lauderdale County TN  ,Lauderdale County,47097,8
Laurel County KY  ,Laurel County,21125,19
Laurens County GA  ,Laurens County,13175,15
Laurens County SC  ,Laurens County,45059,16
Lavaca County TX  ,Lavaca County,48285,15
Lawrence County AL  ,Lawrence County,01079,15
Lawrence County AR  ,Lawrence County,05075,10
Lawrence County IL  ,Lawrence County,17101,6
Lawrence County IN  ,Lawrence County,18093,19
Lawrence County KY  ,Lawrence County,21127,6
Lawrence County MO  ,Lawrence County,29109,22
Lawrence County MS  ,Lawrence County,28077,6
Lawrence County OH  ,Lawrence County,39087,26
Lawrence County PA  ,Lawrence County,42073,25
Lawrence County SD  ,Lawrence County,46081,16
Lawrence County TN  ,Lawrence County,47099,13
Le Flore County OK  ,Le Flore County,40079,38
Le Sueur County MN  ,Le Sueur County,27079,13
Lea County NM  ,Lea County,35025,39
Leake County MS  ,Leake County,28079,6
Leavenworth County KS  ,Leavenworth County,20103,26
Lebanon County PA  ,Lebanon County,42075,35
Lee County AL  ,Lee County,01081,36
Lee County AR  ,Lee County,05077,3
Lee County FL  ,Lee County,12071,125
Lee County GA  ,Lee County,13177,8
Lee County IA  ,Lee County,19111,12
Lee County IL  ,Lee County,17103,16
Lee County KY  ,Lee County,21129,5
Lee County MS  ,Lee County,28081,34
Lee County NC  ,Lee County,37105,16
Lee County SC  ,Lee County,45061,8
Lee County TX  ,Lee County,48287,9
Lee County VA  ,Lee County,51105,11
Leelanau County MI  ,Leelanau County,26089,8
Leflore County MS  ,Leflore County,28083,16
Lehigh County PA  ,Lehigh County,42077,85
Lemhi County ID  ,Lemhi County,16059,9
Lenawee County MI  ,Lenawee County,26091,46
Lenoir County NC  ,Lenoir County,37107,18
Leon County FL  ,Leon County,12073,65
Leon County TX  ,Leon County,48289,13
Leslie County KY  ,Leslie County,21131,7
Letcher County KY  ,Letcher County,21133,12
Levy County FL  ,Levy County,12075,16
Lewis and Clark County MT  ,Lewis and Clark County,30049,27
Lewis County ID  ,Lewis County,16061,5
Lewis County KY  ,Lewis County,21135,7
Lewis County MO  ,Lewis County,29111,4
Lewis County NY  ,Lewis County,36049,14
Lewis County TN  ,Lewis County,47101,4
Lewis County WA  ,Lewis County,53041,46
Lewis County WV  ,Lewis County,54041,7
Lexington city VA  ,Lexington city,51678,4
Lexington County SC  ,Lexington County,45063,71
Liberty County FL  ,Liberty County,12077,10
Liberty County GA  ,Liberty County,13179,12
Liberty County MT  ,Liberty County,30051,7
Liberty County TX  ,Liberty County,48291,44
Licking County OH  ,Licking County,39089,56
Limestone County AL  ,Limestone County,01083,21
Limestone County TX  ,Limestone County,48293,13
Lincoln County AR  ,Lincoln County,05079,3
Lincoln County CO  ,Lincoln County,08073,7
Lincoln County GA  ,Lincoln County,13181,3
Lincoln County ID  ,Lincoln County,16063,6
Lincoln County KS  ,Lincoln County,20105,3
Lincoln County KY  ,Lincoln County,21137,11
Lincoln County ME  ,Lincoln County,23015,21
Lincoln County MN  ,Lincoln County,27081,13
Lincoln County MO  ,Lincoln County,29113,19
Lincoln County MS  ,Lincoln County,28085,12
Lincoln County MT  ,Lincoln County,30053,14
Lincoln County NC  ,Lincoln County,37109,25
Lincoln County NE  ,Lincoln County,31111,23
Lincoln County NM  ,Lincoln County,35027,16
Lincoln County NV  ,Lincoln County,32017,11
Lincoln County OK  ,Lincoln County,40081,22
Lincoln County OR  ,Lincoln County,41041,16
Lincoln County SD  ,Lincoln County,46083,21
Lincoln County TN  ,Lincoln County,47103,11
Lincoln County WA  ,Lincoln County,53043,16
Lincoln County WI  ,Lincoln County,55069,13
Lincoln County WV  ,Lincoln County,54043,8
Lincoln County WY  ,Lincoln County,56023,15
Lincoln Parish LA  ,Lincoln Parish,22061,17
Linn County IA  ,Linn County,19113,76
Linn County KS  ,Linn County,20107,8
Linn County MO  ,Linn County,29115,13
Linn County OR  ,Linn County,41043,46
Lipscomb County TX  ,Lipscomb County,48295,5
Litchfield County CT  ,Litchfield County,09005,78
Little River County AR  ,Little River County,05081,7
Live Oak County TX  ,Live Oak County,48297,6
Livingston County IL  ,Livingston County,17105,24
Livingston County KY  ,Livingston County,21139,4
Livingston County MI  ,Livingston County,26093,46
Livingston County MO  ,Livingston County,29117,11
Livingston County NY  ,Livingston County,36051,23
Livingston Parish LA  ,Livingston Parish,22063,43
Llano County TX  ,Llano County,48299,4
Logan County AR  ,Logan County,05083,12
Logan County CO  ,Logan County,08075,13
Logan County IL  ,Logan County,17107,15
Logan County KS  ,Logan County,20109,5
Logan County KY  ,Logan County,21141,10
Logan County ND  ,Logan County,38047,5
Logan County NE  ,Logan County,31113,2
Logan County OH  ,Logan County,39091,14
Logan County OK  ,Logan County,40083,13
Logan County WV  ,Logan County,54045,19
Long County GA  ,Long County,13183,4
Lonoke County AR  ,Lonoke County,05085,24
Lorain County OH  ,Lorain County,39093,94
Los Alamos County NM  ,Los Alamos County,35028,7
Los Angeles County CA  ,Los Angeles County,06037,2287
Loudon County TN  ,Loudon County,47105,12
Loudoun County VA  ,Loudoun County,51107,94
Louisa County IA  ,Louisa County,19115,10
Louisa County VA  ,Louisa County,51109,6
Loup County NE  ,Loup County,31115,2
Love County OK  ,Love County,40085,8
Lowndes County AL  ,Lowndes County,01085,8
Lowndes County GA  ,Lowndes County,13185,20
Lowndes County MS  ,Lowndes County,28087,20
Lubbock County TX  ,Lubbock County,48303,106
Lucas County IA  ,Lucas County,19117,4
Lucas County OH  ,Lucas County,39095,141
Luce County MI  ,Luce County,26095,2
Lumpkin County GA  ,Lumpkin County,13187,5
Luna County NM  ,Luna County,35029,11
Lunenburg County VA  ,Lunenburg County,51111,4
Luzerne County PA  ,Luzerne County,42079,66
Lycoming County PA  ,Lycoming County,42081,31
Lyman County SD  ,Lyman County,46085,4
Lynchburg city VA  ,Lynchburg city,51680,22
Lynn County TX  ,Lynn County,48305,7
Lyon County IA  ,Lyon County,19119,10
Lyon County KS  ,Lyon County,20111,16
Lyon County KY  ,Lyon County,21143,5
Lyon County MN  ,Lyon County,27083,15
Lyon County NV  ,Lyon County,32019,19
Mackinac County MI  ,Mackinac County,26097,9
Macomb County MI  ,Macomb County,26099,240
Macon County AL  ,Macon County,01087,7
Macon County GA  ,Macon County,13193,3
Macon County IL  ,Macon County,17115,47
Macon County MO  ,Macon County,29121,14
Macon County NC  ,Macon County,37113,11
Macon County TN  ,Macon County,47111,8
Macoupin County IL  ,Macoupin County,17117,29
Madera County CA  ,Madera County,06039,78
Madison County AL  ,Madison County,01089,81
Madison County AR  ,Madison County,05087,8
Madison County FL  ,Madison County,12079,15
Madison County GA  ,Madison County,13195,8
Madison County IA  ,Madison County,19121,10
Madison County ID  ,Madison County,16065,15
Madison County IL  ,Madison County,17119,79
Madison County IN  ,Madison County,18095,30
Madison County KY  ,Madison County,21151,26
Madison County MO  ,Madison County,29123,6
Madison County MS  ,Madison County,28089,33
